"#NAME"	"LOG_RAT2N_MEAN (0h)"	"LOG_RAT2N_MEAN (9.5h)"	"LOG_RAT2N_MEAN (11.5h)"	"LOG_RAT2N_MEAN (13.5h)"	"LOG_RAT2N_MEAN (15.5h)"	"LOG_RAT2N_MEAN(18.5h)"	"LOG_RAT2N_MEAN (20.5h)"
"YPR034W"	-0.105	0.057	-0.255	-0.375	-0.464	-1.153	-0.687
"YNL312W"	0.063	0.08	-0.364	-0.528	-0.172	-0.99	-0.688
"YGR151C"	0.181	0.241	-0.105	-0.05	-0.061	-0.362	-0.689
"YLR401C"	0.078	-0.003	0.046	-0.597	-0.447	-0.756	-0.689
"YJR105W"	0.403	0.542	1.029	0.411	0.108	-0.708	-0.691
"YPL212C"	0.015	-0.033	-0.322	-0.113	-0.254	-0.75	-0.691
"YHR025W"	0.153	0.045	0.576	0.227	-0.154	-0.859	-0.691
"YKR095W"	0.009	-0.031	-0.164	-0.141	-0.142	-0.811	-0.693
"YDR086C"	0.231	-0.049	0.16	0.225	0.336	0.167	-0.695
"YGL016W"	0.173	0.344	0.248	-0.19	-0.544	-0.669	-0.697
"YNR025C"	-0.422	-0.37	-0.417	-0.507	-0.544	-1.204	-0.698
"YKL113C"	0.349	0.14	0.069	-0.07	-0.558	0.54	-0.699
"YKL212W"	0.274	0.312	0.093	0.125	-0.065	-0.47	-0.7
"YPR103W"	0.055	-0.003	-0.239	-0.321	0.031	0.036	-0.702
"YKL099C"	0.217	0.187	0.47	0.025	0.024	0.407	-0.703
"YNL108C"	0.224	-0.199	-0.384	-0.424	-0.395	-0.008	-0.703
"YLR280C"	-0.097	-0.106	-0.484	-0.498	-0.54	-1.199	-0.703
"YJL200C"	0.027	0.157	-0.033	-0.335	-0.434	-0.157	-0.704
"YGL245W"	0.368	0.485	0.289	-0.179	-0.036	-0.405	-0.704
"EMPTY"	0	0	0	0	0.8	0	-0.705
"YOR212W"	-0.005	0.006	0.044	0.021	-0.025	0.001	-0.706
"YGR087C"	0.3	0.259	0.247	-0.153	-0.032	-0.804	-0.706
"YDR514C"	-0.042	-0.087	0.114	-0.022	-0.141	-0.421	-0.706
"YNL289W"	0.19	0.389	-0.135	0.122	-0.067	-1.278	-0.708
"YGR228W"	0.404	0.308	0.195	0.204	0.297	-0.316	-0.709
"YNL311C"	-0.042	-0.334	-0.532	-0.393	-0.331	-0.085	-0.71
"YOR381W"	-0.229	0.001	0.022	-0.07	0.01	-0.739	-0.71
"YMR298W"	-0.148	-0.014	-0.325	-0.05	0.157	0.001	-0.711
"YDL003W"	0.063	-0.392	0.307	0.157	-0.416	-0.469	-0.712
"YGL099W"	0.284	0.142	0.252	-0.557	-0.65	-0.09	-0.713
"YOR169C"	0.35	0.321	0.383	0.105	0.075	-0.21	-0.713
"YOL007C"	0.193	0.184	-0.612	-0.333	-0.388	-1.079	-0.714
"YPR087W"	-0.353	-0.175	0.083	-0.49	0.008	-0.063	-0.714
"YMR212C"	0.438	0.16	0.097	0.167	0.095	-0.521	-0.716
"YML040W"	0.228	0.44	-0.045	0.125	-0.069	-0.868	-0.717
"YBR162W-A"	0.265	0.544	0.527	0.432	0.063	-0.356	-0.718
"YPL204W"	0.093	0.046	-0.488	-0.042	-0.233	-0.553	-0.718
"YBR142W"	0.252	0.392	0.555	-0.369	-0.545	-1.103	-0.719
"YOL098C"	0.219	0.176	-0.384	-0.106	-0.274	-0.47	-0.719
"YLR335W"	0.282	0.409	0.222	-0.145	-0.259	-0.759	-0.72
"YGL216W"	-0.185	-0.389	-0.158	-0.158	-0.218	-0.434	-0.72
"YHR193C"	0.353	0.107	0.133	0.167	0.214	0.317	-0.72
"YOR341W"	0.132	0.185	-0.184	-0.297	-0.653	-1.247	-0.721
"YKL154W"	0.132	-0.008	0.168	0.247	0.314	-0.387	-0.721
"YLL021W"	0.198	-0.011	-0.319	-0.188	-0.263	-1.154	-0.722
"YLL035W"	0.162	0.137	-0.105	-0.4	-0.663	-0.394	-0.723
"YPR142C"	0.208	-0.075	0.041	-0.557	-0.455	-0.875	-0.724
"YKL015W"	0.193	-0.002	-0.328	-0.132	-0.332	-0.325	-0.724
"YJL193W"	0.179	0.013	0.043	-0.159	-0.065	-0.196	-0.725
"YJR124C"	-0.04	0.071	0.403	-0.283	-0.557	-0.141	-0.726
"YNL090W"	0.031	-0.004	-0.143	0.176	0.191	-0.702	-0.726
"YDR522C"	-0.207	-0.075	-0.362	-0.072	-0.184	-0.897	-0.726
"YBR082C"	0.235	-0.052	-0.113	-0.182	-0.06	0.063	-0.727
"YOL022C"	0.46	0.356	0.222	-0.213	-0.279	-0.78	-0.728
"EMPTY"	2.652	0	0.184	0	-1.214	0	-0.729
"YKL057C"	-0.181	-0.178	-0.266	-0.121	-0.174	-1.324	-0.73
"YMR260C"	0.444	0.341	0.579	0.247	0.33	-0.074	-0.73
"YNL062C"	-0.123	0.231	-0.091	-0.317	-0.45	-1.185	-0.73
"YIR023W"	-0.043	-0.443	-0.562	-0.357	-0.57	-0.829	-0.734
"YNL153C"	0.071	-0.038	0.059	0.112	-0.1	0.176	-0.734
"YAR008W"	-0.241	-0.672	-0.728	-0.665	-0.405	-0.502	-0.734
"YER129W"	0.111	-0.095	-0.087	-0.161	-0.303	-1.046	-0.735
"YPL019C"	0.425	0.348	0.315	-0.332	-0.229	-1.285	-0.735
"YFR031C"	-0.252	-0.294	0.005	0.146	-0.341	0.284	-0.736
"YDL038C"	0.091	0.275	0.078	-0.325	-0.393	-0.865	-0.739
"YBR243C"	0.079	-0.101	0.225	0.277	0.281	-0.443	-0.739
"YOR163W"	-0.349	-0.291	-0.386	-0.193	-0.125	-0.456	-0.739
"YOL130W"	0.101	0.081	0.369	-0.732	-1.068	-0.777	-0.741
"YDL039C"	0.125	0.277	0.138	-0.556	-0.619	-0.717	-0.741
"YCR043C"	0.183	0.129	0.24	0.186	0.11	-0.553	-0.742
"YBL028C"	0.302	0.279	0.629	-0.134	-0.303	-0.369	-0.742
"YPR165W"	0.144	-0.026	-0.035	0.232	0.127	-0.118	-0.743
"YDR527W"	0.079	0.167	-0.145	-0.231	-0.113	-1.315	-0.743
"YOR240W"	0.245	-0.125	0.038	0.08	-0.019	0.1	-0.743
"YLR143W"	0.413	0.32	-0.962	0.127	-0.328	0.097	-0.745
"YDL042C"	-0.016	-0.253	-0.63	-0.732	-0.724	-1.165	-0.745
"YOR342C"	0.162	-0.167	-0.351	-0.371	-0.341	-0.8	-0.746
"YDR346C"	0.11	0.364	0.428	-0.086	-0.25	0.31	-0.748
"YMR046C"	0.159	0.268	-0.294	0.195	0.178	-0.852	-0.748
"YGL253W"	0.557	0.615	0.427	-0.044	0.35	-0.052	-0.748
"YDL219W"	0.182	0.498	0.105	0.239	0.053	-0.37	-0.748
"YNR021W"	0.115	-0.06	-0.296	-0.543	-0.028	-0.819	-0.75
"YCL011C"	-0.227	-0.286	0.272	0.045	-0.136	0.378	-0.751
"YHR098C"	0.086	0.157	0.058	0.039	-0.073	-1.004	-0.751
"YDR052C"	-0.097	-0.092	-0.188	-0.064	-0.224	-0.363	-0.751
"YPL086C"	0.113	-0.059	0.378	-0.017	-0.495	-0.136	-0.753
"YDL150W"	0.06	0.202	-0.018	-0.258	-0.435	-0.434	-0.754
"YGL128C"	-0.163	-0.068	-0.835	-0.548	-0.569	-0.177	-0.756
"YEL015W"	-0.159	0.372	0.377	0.46	0.047	0.292	-0.758
"YFR028C"	0.019	-0.135	-0.195	0.04	-0.532	0.088	-0.759
"YLR172C"	0.23	-0.077	-0.194	-0.255	-0.4	-0.698	-0.759
"YBL079W"	0.126	-0.019	-0.442	-0.324	-0.24	-0.766	-0.759
"YCR056W"	-0.271	-0.54	-0.064	-0.774	-1.015	0.034	-0.761
"YDR433W"	-0.059	0.06	-0.452	-0.48	-0.3	-0.759	-0.763
"YDL192W"	0.368	0.133	0.342	0.487	0.754	-0.102	-0.764
"YBR291C"	0.028	-0.13	-0.402	-0.663	-0.35	-0.593	-0.764
"YOL002C"	-0.051	0.346	0.399	0.026	-0.021	-0.821	-0.764
"YKL190W"	0.048	0.15	-0.085	0.169	0.239	-0.209	-0.764
"YMR067C"	0.135	0.142	-0.368	-0.263	-0.335	-0.883	-0.765
"YPR190C"	0.077	0.025	-0.065	-0.562	-0.905	0.017	-0.765
"YAL023C"	0.189	0.224	0.026	-0.139	0.289	-1.346	-0.766
"YHR143BW"	0.108	0.293	0.033	0.085	-0.007	-0.505	-0.77
"YOR355W"	0.358	0.378	0.158	-0.435	-0.369	-1.283	-0.77
"YBR154C"	0.204	-0.001	0.215	-0.102	-0.146	-0.371	-0.77
"YJL168C"	0.122	-0.169	-0.098	-0.068	-0.168	-0.073	-0.774
"YLR162W"	-0.802	-0.681	-0.619	-0.159	-0.447	-0.969	-0.778
"YNL053W"	-0.041	-0.169	-0.228	-0.118	-0.153	-0.702	-0.779
"YEL0171C"	-0.312	-0.129	-0.233	-0.051	-0.203	-0.505	-0.78
"YDL094C"	-0.09	-0.119	-0.142	0.006	-0.148	-0.884	-0.78
"YKL080W"	0.183	0.322	0.231	0.068	0.172	-0.603	-0.781
"YCR055C"	0.053	0.02	0.223	-0.685	-1.099	-0.982	-0.782
"YGL105W"	0.449	0.065	0.322	-0.297	-0.204	0.177	-0.783
"YGL070C"	-0.061	-0.308	-0.197	-0.27	0.08	-0.189	-0.784
"NORF 37"	-0.071	-0.184	-0.209	-0.172	-0.283	-0.723	-0.785
"YPR119W"	0.103	-0.042	-0.155	-0.28	-0.331	-0.068	-0.785
"YDR389W"	0.149	0.036	-0.706	-0.445	-0.756	-0.953	-0.785
"YLR032W"	-0.152	0.341	-0.329	-0.144	-0.16	-0.659	-0.786
"YDR212W"	0.177	0.151	0.353	-0.069	-0.393	-0.361	-0.787
"YLL011W"	0.102	0.096	0.07	-0.209	0.59	-0.165	-0.788
"YNL189W"	0.277	0.425	-0.366	-0.344	-0.459	-0.975	-0.788
"YIL021W"	0.005	-0.299	-0.218	-0.058	-0.044	-0.238	-0.788
"YKL192C"	0.019	-0.076	-0.236	-0.459	-0.737	-0.907	-0.789
"YJL069C"	0.435	0.186	0.067	-0.755	-0.7	-1.125	-0.789
"YIL084C"	-0.294	-0.383	-0.088	0.194	0.303	0.728	-0.791
"YMR277W"	0.155	0.156	0.205	-0.201	-0.187	-0.234	-0.794
"YLR397C"	0.179	0.299	0.138	-0.663	-0.529	-1.152	-0.795
"YDL201W"	0.061	1.106	0.02	-0.23	-0.601	-0.722	-0.801
"YPL048W"	-0.03	-0.044	0.32	-0.311	0.243	-0.009	-0.802
"YDR002W"	0.344	0.46	0.207	0.2	0.088	0.059	-0.802
"YMR108W"	0.326	0.088	-0.381	-0.801	-0.951	-1.595	-0.802
"YER055C"	0.187	0.344	0.495	0.24	0.186	-0.18	-0.804
"YLR042C"	0.049	-0.183	0.052	-0.499	-0.163	-0.43	-0.809
"YHR007C"	0.224	0.367	0.312	0.014	-0.003	-1.357	-0.811
"YDL122W"	-0.093	0.278	-0.165	-0.044	-0.429	-1.092	-0.813
"YOR207C"	0.109	0.347	0.249	-0.456	-0.449	-0.262	-0.813
"YGL022W"	0.254	0.214	0.041	0.277	0.151	-0.107	-0.814
"YCR054C"	0.141	-0.509	-0.45	-0.539	-1.508	0.365	-0.815
"YIL035C"	-0.048	-0.037	-0.193	-0.156	0.042	-0.091	-0.815
"YPR143W"	0.116	-0.134	-0.157	-0.554	-0.631	-1.363	-0.817
"YNL010W"	0.195	0.112	-0.174	0.173	0.469	-0.045	-0.817
"YOR345C"	0.113	0.155	0.139	0.247	0.496	-0.725	-0.818
"YAL035W"	0.18	0.398	-0.056	-0.456	-0.253	-0.731	-0.819
"YDR280W"	-0.09	-0.109	0.371	-0.223	-0.298	-0.132	-0.82
"YNR024W"	-0.206	-0.408	-0.314	-0.383	-0.558	-0.792	-0.82
"YDR432W"	-0.14	-0.127	-0.485	-0.608	-0.212	-0.098	-0.821
"YGL144C"	-0.364	-0.526	-0.108	-0.421	-1.09	0.53	-0.821
"YJR024C"	-0.053	0.18	-0.131	-0.333	-0.027	-0.643	-0.822
"YFR057W"	0.049	0.165	0.001	0.121	0.065	-0.931	-0.823
"YLR084C"	0.085	0.051	-0.406	-0.333	-0.549	-1.094	-0.823
"YNL174W"	0.102	-0.047	-0.081	-0.785	-0.605	-2.402	-0.825
"YGL042C"	0.031	0.006	0.162	0.036	0.194	-0.435	-0.826
"YGR075C"	0.307	0.269	0.327	0.278	0.272	-0.437	-0.828
"YML074C"	0.221	0.072	0.068	-0.55	-0.543	-0.578	-0.829
"YCL009C"	0.029	0.331	-0.28	-0.336	-0.387	-0.571	-0.83
"YNL308C"	0.075	0.121	0.138	-0.755	-0.48	-1.28	-0.831
"YGR259C"	0.052	-0.047	-0.005	0.388	0.559	-0.287	-0.832
"YNR030W"	0.089	0.128	0.364	0.39	0.65	0.227	-0.833
"YDR528W"	0.111	-0.156	-0.567	-0.532	-0.801	-0.674	-0.834
"YPR169W"	0.218	0.287	0.408	0.227	0.329	-0.252	-0.835
"YBR252W"	0.202	0.275	0.234	0.19	0.24	-0.518	-0.835
"YBR012C"	-0.221	-0.345	-0.178	-0.356	-0.321	-0.196	-0.835
"YJR143C"	0.146	0.416	0.458	0.291	0.551	-0.563	-0.838
"YBL005W"	0.182	0.454	-0.054	0.164	0.209	-0.656	-0.839
"YMR038C"	0.088	0.032	-0.113	0.116	0.345	0.065	-0.84
"YOR145C"	0.313	0.263	0.388	-0.552	-0.737	-0.251	-0.842
"YHR174W"	0.155	0.42	0.157	0.284	0.47	-0.395	-0.842
"YLR435W"	0.026	0.052	0.164	-0.754	0.08	-1.543	-0.843
"YNL126W"	0.123	0.09	-0.362	-0.198	-0.078	-0.754	-0.843
"YOR216C"	0.017	-0.25	-0.067	-0.209	-0.408	0.335	-0.844
"YHR129C"	-0.252	-0.127	0.05	-0.173	-0.13	0.18	-0.844
"YGL012W"	0.197	0.445	0.626	0.345	0.309	-0.407	-0.848
"YLR314C"	0.189	-0.215	-0.021	-0.139	-0.045	0.105	-0.851
"YGR293C"	-0.168	-0.503	-0.559	-0.419	-0.626	-0.638	-0.851
"YOR314W"	-0.146	0.44	-0.252	0.095	-0.015	0.105	-0.853
"YLR021W"	-0.227	-0.132	-0.083	0.075	-0.243	-0.681	-0.853
"YOR184W"	0.041	0.399	0.12	0.155	0.431	-0.305	-0.853
"YIL130W"	0.102	-0.187	-0.399	-0.375	-0.5	-0.418	-0.854
"YKL060C"	0.193	0.428	-0.003	0.196	0.289	-0.147	-0.855
"YIL078W"	0.172	0.408	-0.09	0.107	-0.021	-0.921	-0.856
"YBL009W"	-0.052	-0.487	0.069	-0.418	-0.795	0.144	-0.857
"YML018C"	0.342	0.375	0.627	-0.175	-0.142	-0.496	-0.857
"YLR063W"	0.104	-0.047	-0.501	-0.65	-0.769	-0.465	-0.858
"YLR342W"	0.12	0.455	0.392	0.687	0.505	-1.138	-0.858
"YOR247W"	0.337	0.068	0.223	-0.008	0.165	-0.46	-0.861
"YDR440W"	-0.162	-0.27	-0.202	-0.178	-0.121	-0.463	-0.867
"EMPTY"	-0.067	-0.628	0	-0.485	-2.044	0.138	-0.867
"YDR492W"	0.197	0.347	0.351	-0.225	-0.342	-1.044	-0.871
"YOR286W"	-0.052	-0.166	-0.15	-0.012	0.269	0.119	-0.873
"YKR013W"	0.02	0.041	0.206	0.095	-0.005	-1.35	-0.876
"YNL221C"	-0.151	-0.097	-0.238	-0.281	-0.473	-1.263	-0.877
"YER120W"	0.432	0.187	-0.103	-0.323	-0.434	-0.547	-0.879
"YLR192C"	0.338	0.165	0.169	-0.176	-0.087	-0.605	-0.88
"YBR266C"	0.099	-0.368	-0.049	-0.923	-1.142	-1.464	-0.881
"YHR117W"	0.121	-0.294	-0.378	-0.137	-0.24	-0.329	-0.881
"YJL196C"	0.005	-0.12	0.251	0.339	0.672	-0.246	-0.881
"YOR277C"	-0.1	-0.173	-0.24	-0.396	-0.068	-1.154	-0.882
"YKL191W"	0.152	-0.001	-0.337	-1.059	-1.078	-2.249	-0.883
"YBR012W-B"	0.144	0.376	-0.096	0.14	0.294	-0.038	-0.886
"YMR146C"	0.234	0.185	-0.015	-0.308	-0.011	-1.006	-0.887
"YLR272C"	-0.018	-0.117	-0.286	0.015	-0.01	-0.759	-0.887
"YDL211C"	-0.195	-0.209	-0.697	-0.58	-0.641	-0.563	-0.887
"YDR062W"	0.017	0.221	0.109	0.102	-0.051	-1.082	-0.888
"YNR026C"	-0.385	-0.571	-0.494	-0.366	-0.56	-0.726	-0.89
"YOL080C"	-0.108	-0.175	0.035	-0.5	-0.655	-1.082	-0.895
"YNL113W"	0.018	-0.192	-0.072	-0.568	-0.529	-1.542	-0.895
"YBR087W"	-0.045	-0.307	-0.132	0.055	0.033	0.028	-0.897
"EMPTY"	0	0	0	0.198	0	0	-0.898
"YLR243W"	0.024	-0.158	-0.14	-0.47	-0.134	-1.318	-0.9
"YCR054C"	-0.512	-0.402	-0.366	-1.164	-1.217	0.283	-0.9
"YJR003C"	-0.22	-0.057	-0.229	-0.486	-0.601	-1.525	-0.9
"YDR091C"	0.529	0.35	0.435	-0.201	-0.248	-1.106	-0.901
"YJR016C"	0.408	0.48	0.069	-0.384	-0.351	-1.527	-0.902
"YLR406C"	0.195	0.141	0.012	0.084	-0.124	-0.823	-0.904
"YDR429C"	0.531	0.327	0.49	0.043	-0.202	-0.198	-0.904
"YGL120C"	0.206	0.186	0.301	0.496	-0.303	-0.265	-0.905
"YJL160C"	0.017	-0.273	-0.097	0.155	-0.08	-0.342	-0.907
"YPL143W"	0.23	0.045	0.289	-0.146	-0.044	-1.466	-0.909
"YLL043W"	0.173	-0.144	-0.303	-0.168	-0.183	-0.107	-0.909
"YER025W"	0.581	0.192	0.298	-0.312	-0.389	-1.361	-0.91
"YMR307W"	0.389	0.532	0.858	0.539	0.626	-0.845	-0.911
"YJL010C"	0.267	0.243	0.064	-0.519	-0.546	-0.707	-0.911
"NORF 96"	-0.087	-0.037	-0.282	-0.162	-0.443	-0.934	-0.912
"YAR009C"	0.22	0.27	-0.095	-0.067	0.019	-0.927	-0.912
"YFR005C"	0.124	0.608	-0.015	-0.152	-0.886	-0.165	-0.912
"YFL045C"	0.486	0.531	0.944	0.417	0.094	-0.638	-0.913
"YOR298W"	-0.668	-0.809	-0.841	-0.11	-0.397	-1.097	-0.914
"YGL148W"	0.151	0.249	0.211	0.051	-0.194	-0.231	-0.914
"YKL073W"	-0.154	-0.196	-0.164	0.317	0.25	-0.748	-0.915
"YLR291C"	0.384	0.28	-0.06	-0.204	-0.739	-0.094	-0.916
"YEL018W"	-0.334	-0.103	-0.496	-0.554	-0.438	0.002	-0.917
"YDR161W"	0.237	0.195	0.231	-0.505	-0.911	-0.914	-0.918
"YHR070W"	0.06	0.027	-0.428	-0.745	-0.701	-1.194	-0.923
"YHR049W"	0.153	0.131	-0.341	-0.204	-0.263	-1.518	-0.923
"YEL055C"	0.318	0.486	0.501	-0.073	-0.204	-0.988	-0.924
"YKR092C"	0.269	0.408	0.325	-0.29	-0.283	-0.617	-0.925
"YML106W"	0.26	0.276	0.506	0.24	0.098	-0.712	-0.926
"YDR454C"	0.317	0.223	0.266	0.079	0.223	-0.426	-0.929
"YNL043C"	-0.012	-0.146	-0.088	0.139	0.11	-0.747	-0.929
"YDL184C"	0.233	0.441	0.48	0.499	0.553	-0.568	-0.929
"YLR068W"	-0.096	-0.154	0.308	-0.549	-0.435	-1.217	-0.931
"YER145C"	0.207	0.095	-0.507	-0.432	-1.045	-1.443	-0.931
"YNL235C"	-0.202	-0.417	-0.544	-0.383	-0.397	-1.094	-0.933
"YFL037W"	0.348	0.649	0.459	-0.087	-0.03	-0.639	-0.937
"YHR021C"	-0.261	-0.246	0.446	0.237	0.146	-0.524	-0.938
"YBR202W"	0.234	0.023	-0.588	-0.632	-0.661	-0.695	-0.938
"YNL299W"	-0.014	-0.421	0.042	-0.665	-0.884	0.076	-0.938
"EMPTY"	-1.193	0	-0.963	-0.51	-2.392	0	-0.939
"EMPTY"	0	0.228	0	0	1.748	1.283	-0.941
"YGR037C"	0.246	0.148	-0.071	-0.065	-0.036	-0.164	-0.941
"YIL096C"	0.002	-0.29	-0.272	-0.391	0.371	-0.899	-0.943
"YPL183C"	-0.126	-0.06	-0.445	-0.517	-0.672	-2.201	-0.946
"YKR024C"	0.23	0.242	0.157	-0.701	-1.089	0.093	-0.95
"YBL071C"	-0.049	0.318	-0.202	-0.714	-0.767	-0.485	-0.95
"YGR083C"	0.18	0.012	0.136	-0.52	-0.483	-0.245	-0.952
"NORF 10"	-0.107	-0.127	-0.491	-0.572	-1.177	-1.02	-0.952
"YMR129W"	0.078	0.036	-0.591	-0.265	-0.574	-1.534	-0.954
"YPR118W"	0.441	0.513	0.28	-0.172	-0.536	-0.133	-0.955
"YMR205C"	0.243	0.199	0.38	0.197	0.204	-0.949	-0.955
"YPL218W"	-0.159	-0.22	0.186	0.381	0.351	-0.545	-0.956
"YLR058C"	0.138	0.35	0.757	0.412	1.464	-0.889	-0.956
"YGL116W"	-0.192	-0.357	0.046	-0.226	-0.489	-0.132	-0.956
"YNL163C"	0.049	0.187	-0.046	-0.262	-0.668	-0.571	-0.957
"YKL061W"	-0.441	-1.118	-1.258	-0.752	-0.81	-0.423	-0.961
"YOR168W"	0.301	0.301	0.381	0.123	-0.032	-0.229	-0.962
"YNR074C"	-0.214	-0.386	-0.553	-0.494	-0.479	-0.661	-0.964
"YLR268W"	0.091	-0.093	-0.385	-0.227	-0.363	-0.14	-0.964
"YDR413C"	0.077	0.149	-0.077	-0.524	-0.556	-0.886	-0.966
"YEL042W"	0.245	0.172	0.479	-0.029	-0.321	-0.62	-0.967
"YLL004W"	-0.046	-0.086	-0.508	-0.332	-0.388	-1.195	-0.968
"YHR088W"	0.149	0.119	0.142	-0.612	-0.668	-0.67	-0.968
"YLR384C"	0.039	0.06	-0.226	-0.122	-0.492	-1.859	-0.969
"YBL023C"	-0.266	0.269	-0.04	-0.268	-0.579	-0.304	-0.971
"YER009W"	0.236	0.149	0.292	0.233	0.519	-0.306	-0.971
"YBR093C"	0.443	0.325	0.839	-0.058	-0.447	-1.38	-0.972
"YER082C"	-0.014	-0.19	0.134	-0.579	-0.761	-0.587	-0.972
"YOL079W"	0.125	0.01	0.065	-0.624	-0.619	-1.396	-0.974
"YLR146C"	-0.018	0	0.008	-0.216	-0.316	-0.66	-0.977
"YCL046W"	0.13	-0.011	-0.298	-0.19	-0.371	-1.304	-0.982
"YDR119W"	0.397	0.379	0.742	0.243	-0.087	-0.911	-0.982
"YGR173W"	0.118	0.089	0.281	0.19	-0.282	-0.286	-0.989
"NORF 29"	-0.004	0.157	-0.099	0.134	0.211	-0.379	-0.99
"YMR011W"	0.306	0.394	0.473	-0.12	-0.637	-1.142	-0.99
"YIR021W"	-0.204	-0.366	-0.255	-0.241	-0.056	-0.269	-0.99
"YPL034W"	0.129	-0.186	0.128	-0.239	0.038	-1.089	-0.99
"YMR235C"	0.179	0.187	0.478	0.251	0.216	-0.118	-0.992
"YGL029W"	-0.225	-0.139	-0.068	-0.351	-0.132	-1.823	-0.992
"EMPTY"	-0.466	0	0	0	0.556	0	-0.996
"YMR123W"	-0.071	-0.425	-0.202	-0.062	-0.453	-0.642	-0.998
"EMPTY"	0	0	0	0.739	1.918	2.202	-1
"YBR158W"	0.228	0.246	-0.484	-0.904	-0.81	-1.38	-1.004
"YNL238W"	0.061	0.27	-0.372	-0.237	-0.229	0.061	-1.005
"YIL128W"	0.171	0.081	-0.183	-0.203	0.049	-0.51	-1.005
"YJR047C"	0.214	0.023	-0.162	-0.277	-0.244	-0.763	-1.006
"YNL124W"	0.075	-0.055	-0.568	-0.851	-0.777	-1.269	-1.008
"YJR064W"	0.269	0.229	0.08	0.071	-0.066	-0.57	-1.008
"YPR136C"	0.158	-0.13	-0.88	-0.693	-1.02	-2.387	-1.009
"YDL143W"	0.29	0.268	-0.096	-0.208	-0.144	-0.545	-1.009
"YHR196W"	0.279	0.209	0.087	-0.38	-0.578	-0.63	-1.011
"YGR095C"	0.029	-0.042	-0.391	-0.241	-0.491	-0.662	-1.011
"YLR008C"	-0.222	-0.389	-0.498	-0.072	-0.179	-0.514	-1.017
"YLR017W"	0.306	0.215	0.092	-0.236	-0.484	-0.709	-1.018
"YIL118W"	0.139	-0.043	0.306	0.127	0.081	-0.439	-1.019
"YOL101C"	0.187	0.339	0.136	-0.567	-0.703	-1.1	-1.019
"YDR395W"	0.222	0.481	0.224	-0.351	-0.459	-1.148	-1.021
"YBR267W"	-0.035	-0.319	-0.292	-0.766	-0.863	-0.756	-1.026
"YDL040C"	0.141	0.243	-0.148	-0.146	-0.118	-0.821	-1.028
"YHR215W"	0.544	0.555	0.211	-0.55	-0.768	-1.899	-1.029
"YOR004W"	0.104	-0.123	0.247	-0.507	-0.502	-0.096	-1.03
"YGL028C"	0.247	0.195	0.409	-0.049	-0.475	-0.892	-1.03
"YDL084W"	0.234	0.361	-0.14	-0.154	-0.223	-1.241	-1.031
"YER070W"	0.28	0.16	0.145	-0.045	-0.495	-1.589	-1.034
"YBR034C"	0.033	0.081	0.094	-0.918	-0.961	-0.524	-1.034
"YMR080C"	0.001	0.086	-0.569	-0.271	-0.576	-1.292	-1.035
"YJL192C"	0.04	-0.292	-0.151	0.229	0.157	-0.54	-1.037
"YNL109W"	-0.02	-0.139	-0.728	-0.336	-0.697	-0.29	-1.039
"YGR061C"	0.183	0.269	-0.04	0.013	0.114	-1.222	-1.04
"YKL153W"	0.129	0.341	0.107	0.148	0.31	0.07	-1.042
"YNL087W"	0.141	0.102	-0.047	-0.085	0.116	-1.349	-1.042
"YNL292W"	0.021	-0.088	-0.137	-0.087	-0.226	-0.958	-1.043
"YJR070C"	0.257	0.238	0.289	-0.495	0.174	-0.654	-1.045
"YGR187C"	0.247	-0.266	0.34	-0.563	-0.664	-0.075	-1.047
"YOR096W"	0.466	0.16	0.212	0.185	0.103	-1.243	-1.047
"YEL032W"	0.08	-0.04	-0.258	-0.261	-0.459	-0.637	-1.052
"YOR370C"	0.027	-0.009	-0.363	-0.095	-0.193	-0.634	-1.052
"YOL064C"	-0.121	-0.18	-0.516	-0.336	-0.302	-0.76	-1.052
"YCL062W"	-0.219	-0.466	-0.662	-0.624	-0.704	-0.607	-1.052
"YKR001C"	0.25	0.154	-0.221	0.171	0.082	-0.24	-1.056
"YDL052C"	0.048	0.721	-0.205	-0.078	-0.363	-1.377	-1.056
"YPL037C"	0.289	-0.005	0.001	0.039	0.134	-0.096	-1.057
"YOR340C"	0.155	-0.024	-0.013	-0.567	-0.535	-0.973	-1.057
"YNL013C"	0.218	0.217	0.207	-0.209	-0.441	-1.963	-1.061
"YHR149C"	0.122	0.115	-0.317	-0.647	-0.864	-0.927	-1.062
"YJL111W"	0.346	0.253	-0.012	-0.134	-0.137	-1.497	-1.062
"YKR081C"	0.298	0.326	-0.025	-0.404	-0.392	-0.599	-1.065
"YDR226W"	0.212	0.42	0.012	0.07	0.132	-0.225	-1.065
"YNL255C"	0.264	-0.108	-0.078	-0.286	-0.369	-0.551	-1.068
"YDL184C"	0.211	0.011	0.341	0.415	0.446	-0.82	-1.069
"YNL120C"	-0.054	-0.018	-0.366	-0.535	-0.648	-1.637	-1.07
"YMR246W"	0.334	0.487	0.423	-0.37	-0.583	-1.251	-1.072
"YDL014W"	-0.079	-0.256	-0.08	-0.319	-0.303	-1.21	-1.073
"EMPTY"	2.585	-0.373	0	1.152	0.234	1.447	-1.074
"YCR065W"	0.102	0.055	-0.618	-0.842	-0.88	-1.449	-1.077
"YOR078W"	0.102	-0.273	-0.168	-0.514	-0.692	-0.84	-1.077
